study_key,pmid,year,title,max_acceleration_factor,band,all_factors_reported,n_evidence_matches,evidence_quote_for_max,extraction_pattern
S147,39552568,2025,Romer-EPTI: Rotating-view motion-robust super-resolution EPTI for SNR-efficient distortion-free in-vivo mesoscale diffusion MRI and microstructure ima,4.0,2--4,4.0,3,terizes the extent of image blurring in conventional EPI at high spatial resolution (500-μm) even with the use of a high in-plane acceleration factor of 4. This includes the T2/T2* blurring along PE direction due to signal decay across readout,accel_factor
S150,,2025,Sparsity-Driven Parallel Imaging Consistency for Improved Self-Supervised MRI Reconstruction,8.0,>4--8,6.0; 8.0,8,"(Wptrue)n| + ϵ # , (8) where pest ≜f(yΩ+ qΩ, EΩ; θ) −f(yΩ, EΩ; θ), W is ### Page 4 Fig. 3. Illustrative slices reconstructed at R = 8 using equidistant undersampling from cor PD, cor PD-FS knee MRI, and ax T2 brain MRI. MM-",R_equals
S154,39824686,2025,Ultra-high-resolution brain MRI at 0.55T: bSTAR and its application to magnetization transfer ratio imaging,8.0,>4--8,3.1; 8.0,2,"cquisition (undersampling factor of 3.1), while the largest 0.9 mm res- olution rods can be separately recognized on the HR scan (undersampling factor of 8.0). Moreover, no undersampling-related image artefacts (streaking artefacts) can be visuall",accel_factor
S156,39567364,2025,Variable-flip-angle 3D spiral-in-out turbo spin-echo imaging using concomitant gradient compensation and echo reordering at 0.55 T,2.0,2--4,2.0,2,"y spirals were used for fully sampled data sets, and variable density (1.4–0.7 × Nyquist) spi- ral trajectories were designed for 2-fold accelerated data sets. As previously described, encoding gradients with vari- able amplitudes along t",fold
S158,,2026,Accelerating CEST MRI through complementary undersampling and multi-offset transformer reconstruction,6.0,>4--8,3.0; 6.0,25,### Page 4 Table 1 | Evaluation results of all compared methods on normal rodent brain data Methods Undersampling factor = 3 × Undersampling factor = 6 × SSIM PSNR (dB) SSIM PSNR (dB) CS-Wavelet 0:8856 ± 0:0952 30:2657 ± 4:1108 0:7443 ± 0:09,accel_factor
S159,41873533,2026,Advancing Quantitative Susceptibility Mapping With 2.5D Diffusion Models for Rapid Intracranial Hemorrhage Quantification,2.0,2--4,2.0,1,"= 3.4 ms, echo spac- ing = 3.5 ms, TR = 29.8 ms, flip angle = 20˚, voxel size = 1 mm isotropic, FOV = 256 × 256 × 128 mm3, ASSET acceleration factor = 2, and a total scan time of 5.9 min. • Simulated Healthy Subjects: Quantitative assessment",accel_factor
S162,40432253,2026,Block-interleaved segmented echo-planar imaging for improved activity detection in submillimeter high-resolution functional MRI at 7 T,3.0,2--4,3.0,1,flick- ering checkerboard ON/OFF repeated 24 times) for one run. One BISEPI run and one independently acquired ssEPI with GRAPPA (R = 3) (hereafter referred to as ssEPI-R3) run were performed to compare imaging per- formance,R_equals
S166,41958180,2026,DEEP-DISORDER: Motion Correction in 3D MRI via Segment Reconstruction and Registration,8.0,>4--8,2.0; 4.0; 8.0,7,"flip angle was 8°, the repetition time (TR) around 9.9 ms and the echo time (TE) around 4.6 ms. The scans were acquired with 1. 8 × acceleration. Coil-­combined images were obtained using the scanner's built-­in compressed sensing r",fold
S172,40931540,2026,Few-shot learning for highly accelerated 3D time-of-flight MRA reconstruction,8.0,>4--8,4.0; 8.0,21,"ivo datasets was also seen in prospectively undersam- pled data. Despite these strengths, some limitations remain. First, for the acceleration factor of 8, although the proposed method significantly outperformed other methods, some ### Page 14",accel_factor
S174,,2026,Highly Undersampled MRI Reconstruction via a Single Posterior Sampling of Diffusion Models,12.0,>8,8.0; 12.0,3,"rison of SSDM-MRI with various reconstruction methods on two single-coil brain slices. (a) and (b) demonstrates the results under acceleration factors of 12 (1D Gaussian, ACS = 6 lines) and 8 (1D Gaussian, ACS = 12 lines), respectively. The yello",accel_factor
