study_key,pmid,doi,year,journal,title,study_design,method_family,evaluation,failure_modes,field_strength,field_strength_evidence,pulse_sequences,reference_standard,public_dataset_or_benchmark,code_available,full_text_basis,source_record
S011,28945803,10.1371/journal.pone.0184661,2017,PloS one,MRIQC: Advancing the automatic prediction of image quality in MRI from unseen sites,Algorithmic / methodological reconstruction study,,,Artifacts (aliasing/ghosting/Gibbs);Robustness / distribution shift,3T,"-3/1.1, 8, AP 176±15×256±62×256±62 1.00×1.00×1.00 KKI Philips Achieva 3T, 810-3/3.7010-3/0.8, 8, NA 256×200±30×256±30 1.00×1.00×1.00 LEUVEN",T1w;T2w,Not stated,ADNI;UK Biobank,yes,full text,2017 - MRIQC Advancing the automatic prediction of image quality in MRI from unseen sites. - PMID 28945803.md
S012,29769079,10.1186/s12880-018-0256-6,2018,BMC medical imaging,A consistency evaluation of signal-to-noise ratio in the quality assessment of human brain magnetic resonance images,Diagnostic accuracy / reader study,,Observer / reader study,,3T,"- quisition is closely related to the magnetic field strength (1.5 T, 3 T, etc), imaging protocol (T1, T2, etc), field of view (FOV), reconstru",T2w;SWI,Expert reader consensus,,not stated,full text,2018 - A consistency evaluation of signal-to-noise ratio in the quality assessment of human brain magnetic resonance images. - PMID 29769079.md
S013,29520831,10.1002/mrm.27166,2018,Magnetic resonance in medicine,A convolutional neural network to filter artifacts in spectroscopic MRI,Algorithmic / methodological reconstruction study,,,Artifacts (aliasing/ghosting/Gibbs),3T,(23) who received post-surgical scans. All scans were conducted in a 3T MRI scanner with a 32-channel head coil (Siemens Medical) and were ob,T1w,Stated ground truth (unspecified),,not stated,full text,2018 - A convolutional neural network to filter artifacts in spectroscopic MRI. - PMID 29520831.md
S014,,10.1109/prni.2018.8423948,2018,2018 International Workshop on Pattern Recognition in Neuroimaging (PRNI),Automatic detection of motion artifacts on MRI using Deep CNN,Algorithmic / methodological reconstruction study,Motion correction,,Artifacts (aliasing/ghosting/Gibbs);Motion degradation,3T,"c- ture is ﬁnetuned to each MRI axis. The MRI data were acquired on a 3T Phillips Achieva scan- ner from healthy volunteers, using a T1-weight",T1w,Not stated,,not stated,full text,2018 - Automatic detection of motion artifacts on MRI using Deep CNN - IEEEXPLORE 8423948.md
S015,29898715,10.1186/s12938-018-0514-4,2018,Biomedical engineering online,Blind blur assessment of MRI images using parallel multiscale difference of Gaussian filters,Algorithmic / methodological reconstruction study,,,Geometric / anatomical distortion,3T,"2013;15(1):55. 5. Rajiah P, Bolen MA. Cardiovascular MR imaging at 3 T: opportunities, challenges, and solutions. Radiographics. 2014;34(6)",T1w;T2w;FLAIR,Expert reader consensus,ADNI;adni,yes,full text,2018 - Blind blur assessment of MRI images using parallel multiscale difference of Gaussian filters. - PMID 29898715.md
S016,29408461,10.1016/j.neuroimage.2018.01.078,2018,NeuroImage,Impacts of simultaneous multislice acquisition on sensitivity and specificity in fMRI,Algorithmic / methodological reconstruction study,Compressed sensing / parallel imaging,,Artifacts (aliasing/ghosting/Gibbs);Hallucination / fidelity / instability,3T,ollected during the pre-pilot phase of the HCP using their customized 3T Siemens scanner with a NOVA medical thirty-two channel head coil. The,,Not stated,HCP;Human Connectome;UK Biobank;human connectome,not stated,full text,2018 - Impacts of simultaneous multislice acquisition on sensitivity and specificity in fMRI. - PMID 29408461.md
S017,30672166,10.3348/kjr.2017.0634,2019,Korean journal of radiology,Accelerated Time-of-Flight Magnetic Resonance Angiography with Sparse Undersampling and Iterative Reconstruction for the Evaluation of Intracranial Arteries,Diagnostic accuracy / reader study,Compressed sensing / parallel imaging,Observer / reader study,Artifacts (aliasing/ghosting/Gibbs),3T,had undergone sparse TOF MRA for intracranial artery evaluation on a 3T MR scanner. Conventional TOF MRA scans were also acquired from 29 pat,T1w;T2w;FLAIR;DWI,Expert reader consensus,,not stated,full text,2019 - Accelerated Time-of-Flight Magnetic Resonance Angiography with Sparse Undersampling and Iterative Reconstruction for the - PMID 30672166.md
S018,31247254,10.1016/j.mri.2019.05.038,2019,Magnetic resonance imaging,Applications of a deep learning method for anti-aliasing and super-resolution in MRI,Algorithmic / methodological reconstruction study,Super-resolution;Motion correction,,Artifacts (aliasing/ghosting/Gibbs);Motion degradation,3T,cquired from multiple sclerosis (MS) subjects using a Philips Achieva 3T scanner with a 2D protocol and the following parameters: 0.828 × 0.8,T1w;T2w;FLAIR,Expert reader consensus,OASIS,not stated,full text,2019 - Applications of a deep learning method for anti-aliasing and super-resolution in MRI. - PMID 31247254.md
S019,30811739,10.1002/jmri.26693,2019,Journal of magnetic resonance imaging : JMRI,Automated image quality evaluation of structural brain MRI using an ensemble of deep learning networks,Algorithmic / methodological reconstruction study,Physics-based / unrolled,,,3T,"ependent testing. SEQUENCE: T1 -weighted MR brain images acquired at 3T. ASSESSMENT: The ABIDE data were separated into training (60%), vali",T1w;T2w;FLAIR;DWI,Expert reader consensus,UK BioBank;UK Biobank,not stated,full text,2019 - Automated image quality evaluation of structural brain MRI using an ensemble of deep learning networks. - PMID 30811739.md
S020,30523142,10.3174/ajnr.a5905,2019,AJNR. American journal of neuroradiology,Compressed Sensing-Sensitivity Encoding (CS-SENSE) Accelerated Brain Imaging: Reduced Scan Time without Reduced Image Quality,Diagnostic accuracy / reader study,Compressed sensing / parallel imaging,Observer / reader study,Artifacts (aliasing/ghosting/Gibbs),not reported,,FLAIR,Expert reader consensus,,not stated,abstract + MeSH only,2019 - Compressed Sensing-Sensitivity Encoding (CS-SENSE) Accelerated Brain Imaging Reduced Scan Time without Reduced Image Qua - PMID 30523142.md
S021,30671618,10.1007/s00234-019-02160-w,2019,Neuroradiology,Evaluation of 3D fat-navigator based retrospective motion correction in the clinical setting of patients with brain tumors,Algorithmic / methodological reconstruction study,Motion correction,,Artifacts (aliasing/ghosting/Gibbs);Motion degradation,7T,"al tracking system for motion-corrected magnetic resonance imaging at 7T. Magn Reson Mater Physics, Biol Med 25:443–453 7. Maclaren J, Armstr",T1w;T2w;FLAIR;SWI,Expert reader consensus,,not stated,full text,2019 - Evaluation of 3D fat-navigator based retrospective motion correction in the clinical setting of patients with brain tumo - PMID 30671618.md
S022,30630834,10.3174/ajnr.a5927,2019,AJNR. American journal of neuroradiology,Improving the Quality of Synthetic FLAIR Images with Deep Learning Using a Conditional Generative Adversarial Network for Pixel-by-Pixel Image Translation,Algorithmic / methodological reconstruction study,Generative (GAN/diffusion/VAE),,Artifacts (aliasing/ghosting/Gibbs),3T,HODS: Forty patients with MS were prospectively included and scanned (3T) to acquire synthetic MR imaging and conventional FLAIR images. Synth,T1w;T2w;FLAIR,Expert reader consensus,,not stated,full text,2019 - Improving the Quality of Synthetic FLAIR Images with Deep Learning Using a Conditional Generative Adversarial Network fo - PMID 30630834.md
S023,31045278,10.1002/mrm.27771,2019,Magnetic resonance in medicine,Network Accelerated Motion Estimation and Reduction (NAMER): Convolutional neural network guided retrospective motion correction using a separable motion model,Algorithmic / methodological reconstruction study,Physics-based / unrolled;Motion correction,,Artifacts (aliasing/ghosting/Gibbs);Motion degradation,not reported,,,Not stated,,not stated,abstract + MeSH only,2019 - Network Accelerated Motion Estimation and Reduction (NAMER) Convolutional neural network guided retrospective motion cor - PMID 31045278.md
S024,30773331,10.1016/j.zemedi.2019.01.001,2019,Zeitschrift fur medizinische Physik,SHARQnet - Sophisticated harmonic artifact reduction in quantitative susceptibility mapping using a deep convolutional neural network,Algorithmic / methodological reconstruction study,,,Artifacts (aliasing/ghosting/Gibbs);Robustness / distribution shift,7T,"Qnet, was trained on simulated background fields and tested on 3T and 7T brain datasets. We show that SHARQnet outperforms current background",,Stated ground truth (unspecified),,yes,full text,2019 - SHARQnet - Sophisticated harmonic artifact reduction in quantitative susceptibility mapping using a deep convolutional n - PMID 30773331.md
S025,31946482,10.1109/embc.2019.8857125,2019,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,Super-Resolution Diffusion Tensor Imaging using SRCNN: A Feasibility Study,Algorithmic / methodological reconstruction study,Generative (GAN/diffusion/VAE);Super-resolution,,Geometric / anatomical distortion;Robustness / distribution shift,3T,healthy volunteers. The diffusion images were acquired on a Siemens 3T Prisma scanner using a single-shot spin-echo echo- planar imaging wit,DWI,Stated ground truth (unspecified),,yes,full text,2019 - Super-Resolution Diffusion Tensor Imaging using SRCNN A Feasibility Study. - PMID 31946482.md
S026,32054615,10.3174/ajnr.a6436,2020,AJNR. American journal of neuroradiology,Correction of Motion Artifacts Using a Multiscale Fully Convolutional Neural Network,Diagnostic accuracy / reader study,Motion correction,Pixel-wise metrics (PSNR/SSIM/NRMSE);Observer / reader study,Artifacts (aliasing/ghosting/Gibbs);Motion degradation,3T,"). All scans had been per- formed at a single institution on 1 of two 3T MRI scanners (both Ingenia; Philips, Best, the Netherlands) and consi",T2w,Stated ground truth (unspecified),,not stated,full text,2020 - Correction of Motion Artifacts Using a Multiscale Fully Convolutional Neural Network. - PMID 32054615.md
S027,32890675,10.1016/j.mri.2020.08.025,2020,Magnetic resonance imaging,Diagnostic quality assessment of IR-prepared 3D magnetic resonance neuroimaging accelerated using compressed sensing and k-space sampling order optimization,Diagnostic accuracy / reader study,Compressed sensing / parallel imaging,Observer / reader study,Artifacts (aliasing/ghosting/Gibbs),1.5T,Inversion Recovery (IR) prepared 3D Gradient Echo (GRE) sequence on a 1.5 T GE Signa HDx scanner. ASSESSMENT: Independent radiological diagnosti,,Fully sampled acquisition,,not stated,abstract + MeSH only,2020 - Diagnostic quality assessment of IR-prepared 3D magnetic resonance neuroimaging accelerated using compressed sensing and - PMID 32890675.md
S028,32408291,10.1088/1361-6560/ab9356,2020,Physics in medicine and biology,Investigating the challenges and generalizability of deep learning brain conductivity mapping,Algorithmic / methodological reconstruction study,,,Artifacts (aliasing/ghosting/Gibbs);Robustness / distribution shift,3T,id for 2 ### Page 5 Phys. Med. Biol. 65 (2020) 135001 N Hampe et al 3 T MRI) allows for phase-based conductivity mapping: σ = ∆φ+ µ0ω (1) wit,,Stated ground truth (unspecified),,not stated,full text,2020 - Investigating the challenges and generalizability of deep learning brain conductivity mapping. - PMID 32408291.md
S029,32299803,10.3174/ajnr.a6533,2020,AJNR. American journal of neuroradiology,Synthetic MRI of Preterm Infants at Term-Equivalent Age: Evaluation of Diagnostic Image Quality and Automated Brain Volume Segmentation,Algorithmic / methodological reconstruction study,,,Artifacts (aliasing/ghosting/Gibbs);Robustness / distribution shift,3T,"6 1week. MR Imaging Acquisition All examinations were performed on a 3T Ingenia MR imaging scanner (Philips Healthcare, Best, the Netherlands",T1w,Expert reader consensus,,not stated,full text,2020 - Synthetic MRI of Preterm Infants at Term-Equivalent Age Evaluation of Diagnostic Image Quality and Automated Brain Volum - PMID 32299803.md
S030,33592248,10.1016/j.mri.2021.02.002,2021,Magnetic resonance imaging,APIR4EMC: Autocalibrated parallel imaging reconstruction for extended multi-contrast imaging,Algorithmic / methodological reconstruction study,Compressed sensing / parallel imaging,Pixel-wise metrics (PSNR/SSIM/NRMSE);Uncertainty estimation,Artifacts (aliasing/ghosting/Gibbs),3T,"oard approval and informed consent. The images were ac­ quired with a 3T clinical scanner (Discovery MR750, General Electric Medical Systems,",T2w;FLAIR,Fully sampled acquisition,,not stated,full text,2021 - APIR4EMC Autocalibrated parallel imaging reconstruction for extended multi-contrast imaging. - PMID 33592248.md
S031,33858820,10.3174/ajnr.a7091,2021,AJNR. American journal of neuroradiology,Acceleration of Brain TOF-MRA with Compressed Sensitivity Encoding: A Multicenter Clinical Study,Algorithmic / methodological reconstruction study,Compressed sensing / parallel imaging,,Artifacts (aliasing/ghosting/Gibbs),3T,ols Each participant was scanned head-first in the supine position at 3T (Ingenia CX; Philips Healthcare) at 1 of the 5 centers where the MR i,T1w;T2w;FLAIR;DWI;SWI,Expert reader consensus,,not stated,full text,2021 - Acceleration of Brain TOF-MRA with Compressed Sensitivity Encoding A Multicenter Clinical Study. - PMID 33858820.md
S032,34911199,10.1016/j.nicl.2021.102896,2021,NeuroImage. Clinical,Assessing the utility of low resolution brain imaging: treatment of infant hydrocephalus,Algorithmic / methodological reconstruction study,,,,3T,ous Fig. 1. A comparison of the image quality between a high-field (3T) and a low-field (0.05 T) image of the brain of the same volunteer,T1w,Stated ground truth (unspecified),,not stated,full text,2021 - Assessing the utility of low resolution brain imaging treatment of infant hydrocephalus. - PMID 34911199.md
S033,33810289,10.3390/s21072314,2021,"Sensors (Basel, Switzerland)",Correcting Susceptibility Artifacts of MRI Sensors in Brain Scanning: A 3D Anatomy-Guided Deep Learning Approach,Algorithmic / methodological reconstruction study,,,Artifacts (aliasing/ghosting/Gibbs);Geometric / anatomical distortion,3T,"Datasets To evaluate the SAC methods, we used four EPI datasets (fMRI-3T, DWI-3T, fMRI-7T, and DWI-7T), which are the unprocessed data of the",T1w;T2w;DWI,Not stated,HCP;Human Connectome;hcp;human connectome,yes,full text,2021 - Correcting Susceptibility Artifacts of MRI Sensors in Brain Scanning A 3D Anatomy-Guided Deep Learning Approach. - PMID 33810289.md
S034,34824098,10.3174/ajnr.a7358,2021,AJNR. American journal of neuroradiology,"Deep Learning Enables 60% Accelerated Volumetric Brain MRI While Preserving Quantitative Performance: A Prospective, Multicenter, Multireader Trial",Diagnostic accuracy / reader study,,Observer / reader study,Artifacts (aliasing/ghosting/Gibbs),not reported,,,Expert reader consensus,,not stated,abstract + MeSH only,"2021 - Deep Learning Enables 60% Accelerated Volumetric Brain MRI While Preserving Quantitative Performance A Prospective, Mult - PMID 34824098.md"
S035,32963184,10.2463/mrms.tn.2020-0061,2021,Magnetic resonance in medical sciences : MRMS : an official journal of Japan Society of Magnetic Resonance in Medicine,Deep Learning-based Noise Reduction for Fast Volume Diffusion Tensor Imaging: Assessing the Noise Reduction Effect and Reliability of Diffusion Metrics,Algorithmic / methodological reconstruction study,Generative (GAN/diffusion/VAE);Denoising,,,3T,"MRI data acquisition. MRI acquisition All scans were performed on a 3T whole-body scanner (Vantage Galan 3T / ZGO; Canon Medical Systems, T",DWI,Expert reader consensus,,not stated,full text,2021 - Deep Learning-based Noise Reduction for Fast Volume Diffusion Tensor Imaging Assessing the Noise Reduction Effect and Re - PMID 32963184.md
S036,,10.1038/s41598-020-80930-w,2021,Scientific Reports,Deep learning-Based 3D inpainting of brain MR images,Algorithmic / methodological reconstruction study,Compressed sensing / parallel imaging,Perceptual / learned metrics,Hallucination / fidelity / instability,3T,"d 3D MR images of the subjects were obtained using a PET/MRI scanner (3-T, Biograph mMR, Siemens, Knoxville, Tennessee, USA). The imaging para",T1w;FLAIR;SWI,Conventional/standard-of-care acquisition,ADNI,not stated,full text,2021 - Deep learning-Based 3D inpainting of brain MR images - SPRINGER 10.1038_s41598-020-80930-w.md
S037,34455242,10.1016/j.neuroimage.2021.118482,2021,NeuroImage,Deep learning-based parameter estimation in fetal diffusion-weighted MRI,Algorithmic / methodological reconstruction study,Generative (GAN/diffusion/VAE),,Motion degradation;Robustness / distribution shift,3T,"(n = 15), Prisma (n = 3), and Trio (n = 2) scanners. These were all 3T scanners. The scans were acquired at three different sites in Massach",DWI;SWI,Stated ground truth (unspecified),Human Connectome;human connectome,yes,full text,2021 - Deep learning-based parameter estimation in fetal diffusion-weighted MRI. - PMID 34455242.md
S038,33502667,10.1007/s10334-020-00906-9,2021,"Magma (New York, N.Y.)",Effect of MRI acquisition acceleration via compressed sensing and parallel imaging on brain volumetry,Algorithmic / methodological reconstruction study,Compressed sensing / parallel imaging,,,3T,"protocol as specified below. MRI protocol Imaging was performed on a 3 T MRI scanner (Philips Ingenia, Philips, Best, The Netherlands) using",T1w,Expert reader consensus,ADNI,yes,full text,2021 - Effect of MRI acquisition acceleration via compressed sensing and parallel imaging on brain volumetry. - PMID 33502667.md
S039,32783339,10.1002/mrm.28446,2021,Magnetic resonance in medicine,RUN-UP: Accelerated multishot diffusion-weighted MRI reconstruction using an unrolled network with U-Net as priors,Algorithmic / methodological reconstruction study,Physics-based / unrolled;Generative (GAN/diffusion/VAE),,Artifacts (aliasing/ghosting/Gibbs);Robustness / distribution shift,3T,"informed consent from research participants, data were acquired on a 3 T MR750 scanner (GE Healthcare, Waukesha, WI) using a 32-channel head",DWI,Stated ground truth (unspecified),,not stated,full text,2021 - RUN-UP Accelerated multishot diffusion-weighted MRI reconstruction using an unrolled network with U-Net as priors. - PMID 32783339.md
S040,,10.1109/tmi.2021.3075856,2021,IEEE Transactions on Medical Imaging,Results of the 2020 fastMRI Challenge for Machine Learning MR Image Reconstruction,Diagnostic accuracy / reader study,Compressed sensing / parallel imaging,Pixel-wise metrics (PSNR/SSIM/NRMSE);Observer / reader study,,3T,"al for this paper. It includes 6,970 scans (3,001 at 1.5 T, 3,969 at 3 T) collected at NYU Langone Health on Siemens scanners using T1, T1 po",FLAIR,Fully sampled acquisition,fastMRI;fastmri,yes,full text,2021 - Results of the 2020 fastMRI Challenge for Machine Learning MR Image Reconstruction - IEEEXPLORE 9420272.md
S041,33460797,10.1016/j.neuroimage.2021.117756,2021,NeuroImage,Retrospective motion artifact correction of structural MRI images using deep learning improves the quality of cortical surface reconstructions,Algorithmic / methodological reconstruction study,Motion correction,,Artifacts (aliasing/ghosting/Gibbs);Motion degradation,not reported,,T1w,Stated ground truth (unspecified),ADNI;BRATS;BRATs;HCP;Human Connectome;adni,yes,full text,2021 - Retrospective motion artifact correction of structural MRI images using deep learning improves the quality of cortical s - PMID 33460797.md
S042,34698294,10.3390/tomography7040047,2021,"Tomography (Ann Arbor, Mich.)",Simultaneous Multislice Brain MRI T1 Mapping with Improved Low-Rank Modeling,Algorithmic / methodological reconstruction study,,,Artifacts (aliasing/ghosting/Gibbs),3T,"tion and recovery, respectively. The proposed method was validated on 3T MR human brain scans. We successfully demonstrated that the proposed",,Fully sampled acquisition,,not stated,full text,2021 - Simultaneous Multislice Brain MRI T1 Mapping with Improved Low-Rank Modeling. - PMID 34698294.md
S043,33368705,10.1002/nbm.4461,2021,NMR in biomedicine,xQSM: quantitative susceptibility mapping with octave convolutional and noise-regularized neural networks,Algorithmic / methodological reconstruction study,,Pixel-wise metrics (PSNR/SSIM/NRMSE),Robustness / distribution shift,3T,OSMOS map reconstructed from ﬁve head orientations (1 mm isotropic at 3T). (ii) Four local ﬁeld maps of two contrast levels and two noise lev,T1w,Stated ground truth (unspecified),,yes,full text,2021 - xQSM quantitative susceptibility mapping with octave convolutional and noise-regularized neural networks. - PMID 33368705.md
S044,36240989,10.1016/j.neuroimage.2022.119680,2022,NeuroImage,A unified model for reconstruction and R2* mapping of accelerated 7T data using the quantitative recurrent inference machine,Algorithmic / methodological reconstruction study,Physics-based / unrolled;Compressed sensing / parallel imaging,,,7T,A unified model for reconstruction and R2* mapping of accelerated 7T data using the quantitative recurrent inference machine. Quantitative,SWI,Fully sampled acquisition,fastMRI,yes,full text,2022 - A unified model for reconstruction and R2 mapping of accelerated 7T data using the quantitative recurrent inference mach - PMID 36240989.md
S045,,10.1109/tci.2022.3176129,2022,IEEE Transactions on Computational Imaging,Alternating Learning Approach for Variational Networks and Undersampling Pattern in Parallel MRI Applications,Algorithmic / methodological reconstruction study,Physics-based / unrolled;Compressed sensing / parallel imaging,Pixel-wise metrics (PSNR/SSIM/NRMSE),Artifacts (aliasing/ghosting/Gibbs),not reported,,T2w,Fully sampled acquisition,fastMRI,not stated,full text,2022 - Alternating Learning Approach for Variational Networks and Undersampling Pattern in Parallel MRI Applications - IEEEXPLORE 9779482.md
S046,35925387,10.1007/s00330-022-08871-8,2022,European radiology,Clinical validation of Wave-CAIPI susceptibility-weighted imaging for routine brain MRI at 1.5 T,Diagnostic accuracy / reader study,Compressed sensing / parallel imaging;Motion correction,Observer / reader study,Artifacts (aliasing/ghosting/Gibbs);Motion degradation;Robustness / distribution shift,1.5T,f Wave-CAIPI susceptibility-weighted imaging for routine brain MRI at 1.5 T. OBJECTIVES: Wave-CAIPI (Controlled Aliasing in Parallel Imaging) ena,SWI,Expert reader consensus,,not stated,full text,2022 - Clinical validation of Wave-CAIPI susceptibility-weighted imaging for routine brain MRI at 1.5 T. - PMID 35925387.md
S047,35291425,10.1155/2022/6270700,2022,Contrast media & molecular imaging,Deep Learning-Based Diffusion-Weighted Magnetic Resonance Imaging in the Diagnosis of Ischemic Penumbra in Early Cerebral Infarction,Algorithmic / methodological reconstruction study,Generative (GAN/diffusion/VAE);Denoising,Pixel-wise metrics (PSNR/SSIM/NRMSE),Artifacts (aliasing/ghosting/Gibbs);Motion degradation,not reported,,T1w;T2w;DWI;SWI,Expert reader consensus,,not stated,full text,2022 - Deep Learning-Based Diffusion-Weighted Magnetic Resonance Imaging in the Diagnosis of Ischemic Penumbra in Early Cerebra - PMID 35291425.md
S048,36651242,10.12122/j.issn.1673-4254.2022.12.02,2022,Nan fang yi ke da xue xue bao = Journal of Southern Medical University,[Deep parallel MRI reconstruction based on a complex-valued loss function],Algorithmic / methodological reconstruction study,,Pixel-wise metrics (PSNR/SSIM/NRMSE),Artifacts (aliasing/ghosting/Gibbs),3T,MRI 数据：脑部磁共振图像（ Brain MRIs ）和膝盖磁共振图像 （ Knee MRIs ）。 Brain MRIs 使用包括 3T Prisma 和 1.5T Avanto 在 内的 11 种磁共振机型获取了 5 个临床位置的脑部 MR 图像，并分成了训练、验证、测试,,Expert reader consensus,FastMRI;fastMRI,not stated,full text,2022 - Deep parallel MRI reconstruction based on a complex-valued loss function . - PMID 36651242.md
S049,35644448,10.1016/j.mri.2022.05.016,2022,Magnetic resonance imaging,EPI susceptibility correction introduces significant differences far from local areas of high distortion,Algorithmic / methodological reconstruction study,Generative (GAN/diffusion/VAE),,Artifacts (aliasing/ghosting/Gibbs);Hallucination / fidelity / instability;Geometric / anatomical distortion,3T,cal history. 2.2. Image acquisition All imaging was collected using a 3 T Philips Achieva system. T1-weighted anatomical images were acquired,T1w;DWI,Expert reader consensus,HCP,not stated,full text,2022 - EPI susceptibility correction introduces significant differences far from local areas of high distortion. - PMID 35644448.md
S050,36523647,10.1148/ryai.210313,2022,Radiology. Artificial intelligence,Exploring the Acceleration Limits of Deep Learning Variational Network-based Two-dimensional Brain MRI,Diagnostic accuracy / reader study,Compressed sensing / parallel imaging,Pixel-wise metrics (PSNR/SSIM/NRMSE);Observer / reader study,Robustness / distribution shift,3T,"IR im- aging were 250/2.43, 6000/113, and 9000/81, respectively, for 3-T MRI, and 461/9.4, 5120/102, and 9000/86, respectively, for 1.5-T MRI",T1w;T2w;FLAIR,Fully sampled acquisition,fastMRI,yes,full text,2022 - Exploring the Acceleration Limits of Deep Learning Variational Network-based Two-dimensional Brain MRI. - PMID 36523647.md
